id,name,type,height,weight,attack,defense,hp,sp_atk,sp_def,speed,total,abilities,weakness,capture_location
11,metapod,['bug'],0.7,9.9,20.0,55.0,50.0,25.0,25.0,30.0,205.0,['shed skin'],"['fire', 'flying', 'rock']","['eterna-forest-area', 'johto-route-30-area', 'johto-route-31-area', 'ilex-forest-area', 'johto-route-34-area', 'johto-route-35-area', 'national-park-area', 'johto-route-36-area', 'johto-route-37-area', 'johto-route-38-area', 'johto-route-39-area', 'lake-of-rage-area', 'kanto-route-26-area', 'kanto-route-27-area', 'kanto-route-2-south-towards-viridian-city', 'kanto-route-24-area', 'kanto-route-25-area', 'kanto-route-2-north-towards-pewter-city', 'viridian-forest-area', 'pattern-bush-area', 'unova-route-12-area', 'santalune-forest-area', 'azalea-town-area', 'alola-route-1-south', 'alola-route-1-west', 'alola-route-5-area', 'lush-jungle-north', 'lush-jungle-south', 'lush-jungle-west', 'melemele-meadow-area']"
12,butterfree,"['bug', 'flying']",1.1,32.0,45.0,50.0,60.0,90.0,80.0,70.0,395.0,['compound eyes'],"['fire', 'electric', 'ice', 'flying', 'rock']","['ilex-forest-area', 'johto-route-34-area', 'johto-route-35-area', 'johto-route-36-area', 'johto-route-37-area', 'johto-route-38-area', 'johto-route-39-area', 'lake-of-rage-area', 'kanto-route-26-area', 'kanto-route-27-area', 'kanto-route-2-south-towards-viridian-city', 'kanto-route-24-area', 'kanto-route-25-area', 'kanto-route-2-north-towards-pewter-city', 'viridian-forest-area', 'unova-route-12-area', 'azalea-town-area', 'alola-route-5-area', 'lush-jungle-north', 'lush-jungle-south', 'lush-jungle-west', 'melemele-meadow-area']"
13,weedle,"['bug', 'poison']",0.3,3.2,35.0,30.0,40.0,20.0,20.0,50.0,195.0,['shield dust'],"['fire', 'flying', 'psychic', 'rock']","['eterna-forest-area', 'sinnoh-route-204-south-towards-jubilife-city', 'sinnoh-route-204-north-towards-floaroma-town', 'johto-route-30-area', 'johto-route-31-area', 'ilex-forest-area', 'johto-route-34-area', 'johto-route-35-area', 'national-park-area', 'unknown-all-bugs-area', 'johto-route-36-area', 'johto-route-37-area', 'johto-route-38-area', 'johto-route-39-area', 'lake-of-rage-area', 'kanto-route-26-area', 'kanto-route-27-area', 'kanto-route-2-south-towards-viridian-city', 'kanto-route-24-area', 'kanto-route-25-area', 'kanto-route-2-north-towards-pewter-city', 'viridian-forest-area', 'pattern-bush-area', 'kalos-route-2-area', 'santalune-forest-area', 'azalea-town-area']"
14,kakuna,"['bug', 'poison']",0.6,10.0,25.0,50.0,45.0,25.0,25.0,35.0,205.0,['shed skin'],"['fire', 'flying', 'psychic', 'rock']","['eterna-forest-area', 'johto-route-30-area', 'johto-route-31-area', 'ilex-forest-area', 'johto-route-34-area', 'johto-route-35-area', 'national-park-area', 'johto-route-36-area', 'johto-route-37-area', 'johto-route-38-area', 'johto-route-39-area', 'lake-of-rage-area', 'kanto-route-26-area', 'kanto-route-27-area', 'kanto-route-2-south-towards-viridian-city', 'kanto-route-24-area', 'kanto-route-25-area', 'kanto-route-2-north-towards-pewter-city', 'viridian-forest-area', 'pattern-bush-area', 'unova-route-12-area', 'santalune-forest-area', 'azalea-town-area']"
15,beedrill,"['bug', 'poison']",1.0,29.5,90.0,40.0,65.0,45.0,80.0,75.0,395.0,['swarm'],"['fire', 'flying', 'psychic', 'rock']","['ilex-forest-area', 'johto-route-34-area', 'johto-route-35-area', 'johto-route-36-area', 'johto-route-37-area', 'johto-route-38-area', 'johto-route-39-area', 'lake-of-rage-area', 'kanto-route-26-area', 'kanto-route-27-area', 'kanto-route-2-south-towards-viridian-city', 'kanto-route-2-north-towards-pewter-city', 'viridian-forest-area', 'unova-route-12-area', 'azalea-town-area', 'alola-route-4-area']"
16,pidgey,"['normal', 'flying']",0.3,1.8,45.0,40.0,40.0,35.0,35.0,56.0,251.0,"['keen eye', 'tangled feet']","['electric', 'ice', 'rock']","['sinnoh-route-229-area', 'johto-route-29-area', 'johto-route-30-area', 'johto-route-31-area', 'johto-route-32-area', 'ilex-forest-area', 'johto-route-34-area', 'johto-route-35-area', 'national-park-area', 'johto-route-36-area', 'johto-route-37-area', 'kanto-route-12-area', 'kanto-route-1-area', 'kanto-route-2-south-towards-viridian-city', 'kanto-route-3-area', 'kanto-route-5-area', 'kanto-route-6-area', 'kanto-route-7-area', 'kanto-route-8-area', 'kanto-route-11-area', 'kanto-route-13-area', 'kanto-route-14-area', 'kanto-route-15-area', 'kanto-sea-route-21-area', 'kanto-route-24-area', 'kanto-route-25-area', 'kanto-route-2-north-towards-pewter-city', 'viridian-forest-area', 'berry-forest-area', 'bond-bridge-area', 'five-isle-meadow-area', 'kalos-route-2-area', 'kalos-route-3-area', 'johto-safari-zone-zone-forest']"
17,pidgeotto,"['normal', 'flying']",1.1,30.0,60.0,55.0,63.0,50.0,50.0,71.0,349.0,"['keen eye', 'tangled feet']","['electric', 'ice', 'rock']","['johto-route-37-area', 'johto-route-38-area', 'johto-route-39-area', 'johto-route-43-area', 'kanto-route-12-area', 'kanto-route-2-south-towards-viridian-city', 'kanto-route-5-area', 'kanto-route-6-area', 'kanto-route-7-area', 'kanto-route-8-area', 'kanto-route-11-area', 'kanto-route-13-area', 'kanto-route-14-area', 'kanto-route-15-area', 'kanto-sea-route-21-area', 'kanto-route-24-area', 'kanto-route-25-area', 'kanto-route-2-north-towards-pewter-city', 'viridian-forest-area', 'berry-forest-area', 'bond-bridge-area', 'five-isle-meadow-area', 'johto-safari-zone-zone-plains', 'johto-safari-zone-zone-mountain']"
18,pidgeot,"['normal', 'flying']",1.5,39.5,80.0,75.0,83.0,70.0,70.0,101.0,479.0,"['keen eye', 'tangled feet']","['electric', 'ice', 'rock']",['alola-route-10-area']
19,rattata,['normal'],0.3,3.5,56.0,35.0,30.0,25.0,35.0,72.0,253.0,"['run away', 'guts']",['fighting'],"['sinnoh-route-225-area', 'sinnoh-sea-route-226-area', 'johto-route-29-area', 'johto-route-30-area', 'johto-route-31-area', 'sprout-tower-2f', 'sprout-tower-3f', 'johto-route-32-area', 'union-cave-1f', 'union-cave-b1f', 'union-cave-b2f', 'johto-route-33-area', 'johto-route-34-area', 'burned-tower-1f', 'burned-tower-b1f', 'bell-tower-2f', 'bell-tower-3f', 'bell-tower-4f', 'bell-tower-5f', 'bell-tower-6f', 'bell-tower-7f', 'bell-tower-8f', 'bell-tower-9f', 'johto-route-38-area', 'johto-route-39-area', 'johto-route-42-area', 'mt-mortar-1f', 'mt-mortar-lower-cave', 'mt-mortar-b1f', 'johto-route-46-area', 'bell-tower-10f', 'unknown-all-rattata-area', 'kanto-route-1-area', 'kanto-route-2-south-towards-viridian-city', 'kanto-route-3-area', 'kanto-route-4-area', 'kanto-route-5-area', 'kanto-route-6-area', 'kanto-route-7-area', 'kanto-route-8-area', 'kanto-route-9-area', 'kanto-route-10-area', 'kanto-route-11-area', 'kanto-route-16-area', 'kanto-route-17-area', 'kanto-route-18-area', 'kanto-sea-route-21-area', 'kanto-route-22-area', 'tohjo-falls-area', 'pokemon-mansion-1f', 'pokemon-mansion-2f', 'pokemon-mansion-3f', 'pokemon-mansion-b1f', 'castelia-city-area', 'castelia-sewers-area', 'castelia-sewers-unknown-area-38', 'relic-passage-castelia-sewers-entrance', 'alola-route-1-south']"
20,raticate,['normal'],0.7,18.5,81.0,60.0,55.0,50.0,70.0,97.0,413.0,"['run away', 'guts']",['fighting'],"['sinnoh-route-225-area', 'sinnoh-sea-route-226-area', 'union-cave-b2f', 'burned-tower-1f', 'johto-route-38-area', 'johto-route-39-area', 'johto-route-42-area', 'mt-mortar-1f', 'mt-mortar-lower-cave', 'mt-mortar-upper-cave', 'mt-mortar-b1f', 'johto-route-43-area', 'johto-route-47-area', 'kanto-route-26-area', 'kanto-route-27-area', 'kanto-route-1-area', 'kanto-route-3-area', 'kanto-route-4-area', 'kanto-route-6-area', 'kanto-route-7-area', 'kanto-route-9-area', 'kanto-route-10-area', 'kanto-route-11-area', 'kanto-route-16-area', 'kanto-route-17-area', 'kanto-route-18-area', 'kanto-sea-route-21-area', 'tohjo-falls-area', 'pokemon-mansion-1f', 'pokemon-mansion-2f', 'pokemon-mansion-3f', 'pokemon-mansion-b1f', 'dreamyard-area', 'dreamyard-b1f', 'strange-house-1f', 'strange-house-b1f', 'relic-passage-relic-castle-entrance', 'johto-safari-zone-zone-plains', 'johto-safari-zone-zone-mountain', 'heahea-beach-area']"
21,spearow,"['normal', 'flying']",0.3,2.0,60.0,30.0,40.0,31.0,31.0,70.0,262.0,['keen eye'],"['electric', 'ice', 'rock']","['sinnoh-route-225-area', 'sinnoh-sea-route-226-area', 'johto-route-29-area', 'johto-route-30-area', 'johto-route-31-area', 'johto-route-32-area', 'johto-route-33-area', 'johto-route-42-area', 'johto-route-43-area', 'johto-route-44-area', 'johto-route-45-area', 'johto-route-46-area', 'johto-route-47-area', 'kanto-route-3-area', 'kanto-route-4-area', 'kanto-route-7-area', 'kanto-route-9-area', 'kanto-route-10-area', 'kanto-route-11-area', 'kanto-route-16-area', 'kanto-route-17-area', 'kanto-route-18-area', 'kanto-route-22-area', 'kanto-route-23-area', 'mt-ember-area', 'kindle-road-area', 'treasure-beach-area', 'cape-brink-area', 'water-path-area', 'ruin-valley-area', 'canyon-entrance-area', 'goldenrod-city-north-gate', 'azalea-town-area', 'johto-safari-zone-zone-wetland', 'alola-route-2-north', 'alola-route-3-north', 'alola-route-3-south', 'poke-pelago-poni-island-reached', 'poke-pelago-ulaula-island-reached', 'poke-pelago-elite-four-defeated']"
22,fearow,"['normal', 'flying']",1.2,38.0,90.0,65.0,65.0,61.0,61.0,100.0,442.0,['keen eye'],"['electric', 'ice', 'rock']","['stark-mountain-area', 'sinnoh-route-225-area', 'sinnoh-route-227-area', 'sinnoh-sea-route-226-area', 'johto-route-42-area', 'johto-route-47-area', 'johto-route-48-area', 'kanto-route-9-area', 'kanto-route-10-area', 'kanto-route-16-area', 'kanto-route-17-area', 'kanto-route-18-area', 'kanto-route-22-area', 'kanto-route-23-area', 'mt-ember-area', 'kindle-road-area', 'treasure-beach-area', 'cape-brink-area', 'water-path-area', 'ruin-valley-area', 'canyon-entrance-area', 'sevault-canyon-area', 'unova-route-15-area', 'johto-safari-zone-zone-desert', 'johto-safari-zone-zone-wasteland', 'alola-route-10-area', 'alola-route-17-northeast', 'alola-route-17-west', 'mount-hokulani-main', 'mount-hokulani-west', 'poni-plains-north', 'poni-plains-west']"
23,ekans,['poison'],2.0,6.9,60.0,44.0,35.0,40.0,54.0,55.0,288.0,"['shed skin', 'intimidate']","['ground', 'psychic']","['sinnoh-route-212-east-towards-pastoria-city', 'johto-route-32-area', 'johto-route-33-area', 'johto-route-42-area', 'kanto-route-26-area', 'kanto-route-27-area', 'kanto-route-3-area', 'kanto-route-4-area', 'kanto-route-8-area', 'kanto-route-9-area', 'kanto-route-10-area', 'kanto-route-11-area', 'kanto-route-23-area', 'azalea-town-area', 'johto-safari-zone-zone-marshland', 'alola-route-2-north', 'alola-route-2-south']"
24,arbok,['poison'],3.5,65.0,95.0,69.0,60.0,65.0,79.0,80.0,448.0,"['shed skin', 'intimidate']","['ground', 'psychic']","['great-marsh-area-1', 'great-marsh-area-2', 'great-marsh-area-3', 'great-marsh-area-4', 'great-marsh-area-5', 'great-marsh-area-6', 'johto-route-42-area', 'mt-silver-outside', 'kanto-route-26-area', 'kanto-route-27-area', 'kanto-route-28-area', 'kanto-route-3-area', 'kanto-route-4-area', 'cerulean-cave-1f', 'cerulean-cave-b1f', 'kanto-route-23-area', 'kanto-victory-road-2-1f', 'kanto-victory-road-2-2f', 'kanto-victory-road-2-3f', 'johto-safari-zone-zone-marshland', 'alola-route-8-main']"
25,pikachu,['electric'],0.4,6.0,55.0,40.0,35.0,50.0,50.0,90.0,320.0,['static'],['ground'],"['trophy-garden-area', 'pallet-town-area', 'kanto-route-2-south-towards-viridian-city', 'viridian-forest-area', 'power-plant-area', 'hoenn-safari-zone-sw', 'hoenn-safari-zone-se', 'kalos-route-3-area', 'santalune-forest-area', 'slateport-city-contest-hall', 'verdanturf-town-contest-hall', 'fallarbor-town-contest-hall', 'lilycove-city-contest-hall', 'alola-route-1-east', 'alola-route-1-west', 'hauoli-city-shopping-district', 'heahea-city-surf-association']"
26,raichu,['electric'],0.8,30.0,90.0,55.0,60.0,90.0,80.0,110.0,485.0,['static'],['ground'],"['cerulean-cave-1f', 'cerulean-cave-b1f', 'power-plant-area']"
27,sandshrew,['ground'],0.6,12.0,75.0,85.0,50.0,20.0,30.0,40.0,300.0,['sand veil'],"['water', 'grass', 'ice']","['wayward-cave-1f', 'wayward-cave-b1f', 'union-cave-1f', 'union-cave-b1f', 'mt-moon-1f', 'mt-moon-2f', 'kanto-route-3-area', 'kanto-route-4-area', 'kanto-route-8-area', 'kanto-route-9-area', 'kanto-route-10-area', 'kanto-route-11-area', 'kanto-route-23-area', 'hoenn-route-111-area', 'hoenn-route-113-area', 'mirage-tower-area', 'desert-resort-entrance', 'desert-resort-area', 'relic-castle-a', 'johto-safari-zone-zone-desert']"
28,sandslash,['ground'],1.0,29.5,100.0,110.0,75.0,45.0,55.0,65.0,450.0,['sand veil'],"['water', 'grass', 'ice']","['sinnoh-route-228-area', 'kanto-route-26-area', 'kanto-route-27-area', 'mt-moon-1f', 'mt-moon-2f', 'kanto-victory-road-1-1f', 'kanto-victory-road-1-2f', 'kanto-victory-road-1-3f', 'cerulean-cave-1f', 'cerulean-cave-2f', 'cerulean-cave-b1f', 'kanto-route-23-area', 'kanto-victory-road-2-1f', 'kanto-victory-road-2-2f', 'kanto-victory-road-2-3f', 'relic-castle-c', 'unova-route-15-area', 'kalos-route-18-area', 'terminus-cave-1f', 'terminus-cave-b1f-left', 'terminus-cave-b1f-right', 'terminus-cave-b2f', 'terminus-cave-zygardes-chamber', 'johto-safari-zone-zone-desert']"
29,nidoran♀,['poison'],0.4,7.0,47.0,52.0,55.0,40.0,40.0,41.0,275.0,"['poison point', 'rivalry']","['ground', 'psychic']","['sinnoh-route-201-area', 'johto-route-35-area', 'national-park-area', 'johto-route-36-area', 'kanto-route-2-south-towards-viridian-city', 'kanto-route-3-area', 'kanto-route-9-area', 'kanto-route-10-area', 'kanto-route-22-area', 'kanto-safari-zone-middle', 'kanto-safari-zone-area-1-east', 'kanto-safari-zone-area-2-north', 'kanto-safari-zone-area-3-west', 'johto-safari-zone-zone-savannah']"
30,nidorina,['poison'],0.8,20.0,62.0,67.0,70.0,55.0,55.0,56.0,365.0,"['poison point', 'rivalry']","['ground', 'psychic']","['valor-lakefront-area', 'sinnoh-route-221-area', 'kanto-route-9-area', 'kanto-route-13-area', 'kanto-route-14-area', 'kanto-route-15-area', 'kanto-route-23-area', 'kanto-safari-zone-middle', 'kanto-safari-zone-area-1-east', 'kanto-safari-zone-area-2-north', 'kanto-safari-zone-area-3-west', 'kalos-route-11-area', 'johto-safari-zone-zone-savannah']"
31,nidoqueen,"['poison', 'ground']",1.3,60.0,92.0,87.0,90.0,75.0,85.0,76.0,505.0,"['poison point', 'rivalry']","['water', 'ice', 'ground', 'psychic']",[]
32,nidoran♂,['poison'],0.5,9.0,57.0,40.0,46.0,40.0,40.0,50.0,273.0,"['poison point', 'rivalry']","['ground', 'psychic']","['sinnoh-route-201-area', 'johto-route-35-area', 'national-park-area', 'johto-route-36-area', 'kanto-route-2-south-towards-viridian-city', 'kanto-route-3-area', 'kanto-route-9-area', 'kanto-route-10-area', 'kanto-route-22-area', 'kanto-safari-zone-middle', 'kanto-safari-zone-area-1-east', 'kanto-safari-zone-area-2-north', 'kanto-safari-zone-area-3-west']"
33,nidorino,['poison'],0.9,19.5,72.0,57.0,61.0,55.0,55.0,65.0,365.0,"['poison point', 'rivalry']","['ground', 'psychic']","['valor-lakefront-area', 'sinnoh-route-221-area', 'kanto-route-9-area', 'kanto-route-13-area', 'kanto-route-14-area', 'kanto-route-15-area', 'kanto-route-23-area', 'kanto-safari-zone-middle', 'kanto-safari-zone-area-1-east', 'kanto-safari-zone-area-2-north', 'kanto-safari-zone-area-3-west', 'kalos-route-11-area', 'johto-safari-zone-zone-savannah']"
34,nidoking,"['poison', 'ground']",1.4,62.0,102.0,77.0,81.0,85.0,75.0,85.0,505.0,"['poison point', 'rivalry']","['water', 'ice', 'ground', 'psychic']",[]
35,clefairy,['fairy'],0.6,7.5,45.0,48.0,70.0,60.0,65.0,35.0,323.0,"['cute charm', 'magic guard']","['poison', 'steel']","['mt-coronet-1f-route-207', 'mt-coronet-2f', 'mt-coronet-3f', 'mt-coronet-exterior-snowfall', 'mt-coronet-exterior-blizzard', 'mt-coronet-4f', 'mt-coronet-4f-small-room', 'mt-coronet-5f', 'mt-coronet-6f', 'mt-coronet-1f-from-exterior', 'mt-coronet-1f-route-216', 'mt-coronet-b1f', 'mt-moon-1f', 'mt-moon-2f', 'kanto-route-3-area', 'kanto-route-4-area', 'mt-moon-b1f', 'mt-moon-b2f', 'giant-chasm-outside', 'giant-chasm-area', 'giant-chasm-forest', 'giant-chasm-forest-cave', 'johto-safari-zone-zone-meadow', 'mount-hokulani-main', 'mount-hokulani-east', 'mount-hokulani-west']"
36,clefable,['fairy'],1.3,40.0,70.0,73.0,95.0,95.0,90.0,60.0,483.0,"['cute charm', 'magic guard']","['poison', 'steel']","['giant-chasm-outside', 'giant-chasm-forest', 'giant-chasm-forest-cave']"
37,vulpix,['fire'],0.6,9.9,41.0,40.0,38.0,50.0,65.0,65.0,299.0,['flash fire'],"['water', 'ground', 'rock']","['sinnoh-route-209-area', 'sinnoh-route-214-area', 'johto-route-36-area', 'johto-route-37-area', 'johto-route-48-area', 'kanto-route-7-area', 'kanto-route-8-area', 'pokemon-mansion-1f', 'pokemon-mansion-2f', 'pokemon-mansion-3f', 'pokemon-mansion-b1f', 'mt-pyre-outside', 'abundant-shrine-area']"
38,ninetales,['fire'],1.1,19.9,76.0,75.0,73.0,81.0,100.0,100.0,505.0,['flash fire'],"['water', 'ground', 'rock']",['abundant-shrine-area']
39,jigglypuff,"['normal', 'fairy']",0.5,5.5,45.0,20.0,115.0,45.0,25.0,20.0,270.0,"['cute charm', 'competitive']","['poison', 'steel']","['johto-route-34-area', 'johto-route-35-area', 'johto-route-46-area', 'kanto-route-3-area', 'kanto-route-4-area', 'kanto-route-5-area', 'kanto-route-6-area', 'kanto-route-7-area', 'kanto-route-8-area', 'hoenn-route-115-area', 'dreamyard-area', 'dreamyard-b1f', 'unova-route-1-area', 'unova-route-2-area', 'unova-route-14-area', 'kalos-route-20-area', 'pokemon-village-area', 'johto-safari-zone-zone-meadow', 'johto-safari-zone-zone-swamp', 'alola-route-4-area', 'alola-route-6-north', 'alola-route-6-south']"
40,wigglytuff,"['normal', 'fairy']",1.0,12.0,70.0,45.0,140.0,85.0,50.0,45.0,435.0,"['cute charm', 'competitive']","['poison', 'steel']","['cerulean-cave-2f', 'dreamyard-area', 'unova-route-1-area', 'unova-route-2-area', 'unova-route-14-area']"
41,zubat,"['poison', 'flying']",0.8,7.5,45.0,35.0,40.0,30.0,40.0,55.0,245.0,['inner focus'],"['electric', 'ice', 'psychic', 'rock']","['oreburgh-mine-1f', 'oreburgh-mine-b1f', 'mt-coronet-1f-route-207', 'mt-coronet-4f', 'mt-coronet-1f-route-211', 'mt-coronet-b1f', 'ravaged-path-area', 'oreburgh-gate-1f', 'oreburgh-gate-b1f', 'wayward-cave-1f', 'wayward-cave-b1f', 'iron-island-1f', 'acuity-lakefront-area', 'sinnoh-route-203-area', 'sinnoh-route-204-south-towards-jubilife-city', 'sinnoh-route-204-north-towards-floaroma-town', 'sinnoh-route-206-area', 'sinnoh-route-207-area', 'sinnoh-route-208-area', 'sinnoh-route-209-area', 'lost-tower-1f', 'lost-tower-2f', 'lost-tower-3f', 'lost-tower-4f', 'lost-tower-5f', 'sinnoh-route-211-west-towards-eterna-city', 'sinnoh-route-211-east-towards-celestic-town', 'sinnoh-route-214-area', 'sinnoh-route-216-area', 'sinnoh-route-217-area', 'johto-route-30-area', 'johto-route-31-area', 'johto-route-32-area', 'union-cave-1f', 'union-cave-b1f', 'union-cave-b2f', 'johto-route-33-area', 'slowpoke-well-1f', 'slowpoke-well-b1f', 'ilex-forest-area', 'burned-tower-1f', 'burned-tower-b1f', 'whirl-islands-1f', 'whirl-islands-b1f', 'whirl-islands-b2f', 'whirl-islands-b3f', 'johto-route-42-area', 'mt-mortar-1f', 'mt-mortar-lower-cave', 'mt-mortar-b1f', 'ice-path-1f', 'ice-path-b1f', 'ice-path-b2f', 'ice-path-b3f', 'dark-cave-violet-city-entrance', 'dark-cave-blackthorn-city-entrance', 'seafoam-islands-1f', 'seafoam-islands-b1f', 'seafoam-islands-b2f', 'seafoam-islands-b3f', 'seafoam-islands-b4f', 'johto-route-47-inside-cave', 'mt-moon-1f', 'mt-moon-2f', 'rock-tunnel-1f', 'rock-tunnel-b1f', 'kanto-route-3-area', 'kanto-route-4-area', 'kanto-route-9-area', 'kanto-route-10-area', 'tohjo-falls-area', 'mt-moon-b1f', 'mt-moon-b2f', 'rock-tunnel-b2f', 'kanto-victory-road-2-1f', 'kanto-victory-road-2-2f', 'kanto-victory-road-2-3f', 'meteor-falls-area', 'granite-cave-1f', 'granite-cave-b1f', 'granite-cave-b2f', 'granite-cave-1fsmall-room', 'seafloor-cavern-area', 'cave-of-origin-entrance', 'cave-of-origin-1f', 'cave-of-origin-b1f', 'cave-of-origin-b2f', 'cave-of-origin-b3f', 'hoenn-victory-road-1f', 'shoal-cave-area', 'shoal-cave-b1f', 'hoenn-altering-cave-a', 'icefall-cave-entrance', 'icefall-cave-1f', 'icefall-cave-b1f', 'icefall-cave-waterfall', 'lost-cave-room-1', 'lost-cave-room-2', 'lost-cave-room-3', 'lost-cave-room-4', 'lost-cave-room-5', 'lost-cave-room-6', 'lost-cave-room-7', 'lost-cave-room-8', 'lost-cave-room-9', 'lost-cave-room-10', 'lost-cave-item-rooms', 'kanto-altering-cave-a', 'castelia-sewers-area', 'castelia-sewers-unknown-area-38', 'connecting-cave-area', 'johto-safari-zone-zone-mountain', 'johto-safari-zone-zone-rocky-beach', 'johto-safari-zone-zone-savannah', 'digletts-tunnel-area', 'hauoli-cemetery-area', 'lush-jungle-east-cave', 'memorial-hill-area', 'sandy-cave-area', 'seaward-cave-area', 'ten-carat-hill-inside', 'verdant-cavern-trial-site', 'poke-pelago-poni-island-reached', 'poke-pelago-ulaula-island-reached', 'poke-pelago-elite-four-defeated']"
